Model;Instance;element;Name;Start Waiting;Start;End;Waiting Time;Process Time;Fixed Cost;Variable Cost;Resources;GetStores;PutStores
Credit Application Clerk;instance1;START;Credit application received;0;0;0;0;0;0;0;;;
Credit Application Clerk;instance1;activity;Check income sources;0;0;8.310821623620866;0.0;8.310821623620866;5;4.155410811810433;Clerk;;
Credit Application Clerk;instance1;activity;Check credit history;0;0;12.196041188821098;0.0;12.196041188821098;5;6.098020594410549;Clerk;;
Credit Application Clerk;instance1;intermediate;Credit Application checked;12.196041188821098;12.196041188821098;12.196041188821098;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1;START;Credit application received;12.196041188821098;12.196041188821098;12.196041188821098;0.0;0.0;0;0;;Application store;
Credit Application Clerk;instance2;START;Credit application received;19.286551053688214;19.286551053688214;19.286551053688214;0.0;0.0;0;0;;;
Credit Application Clerk;instance1;activity;Send e-mail to customer;12.196041188821098;12.196041188821098;19.953026730999337;0.0;7.756985542178238;5;3.878492771089119;Clerk;;
Credit Application Clerk;instance1;END;Customer notified;19.953026730999337;19.953026730999337;19.953026730999337;0.0;0.0;0;0;;;
Credit Application Clerk;instance2;activity;Check credit history;19.286551053688214;19.286551053688214;27.80500903661399;0.0;8.518457982925774;5;4.259228991462887;Clerk;;
Credit Application Credit Officer;instance1;activity;Assess application;12.196041188821098;12.196041188821098;32.46487867987805;0.0;20.26883749105695;5;20.26883749105695;Credit Officer;;
Credit Application Clerk;instance2;activity;Check income sources;19.286551053688214;19.286551053688214;32.669760437026774;0.0;13.383209383338562;5;6.691604691669281;Clerk;;
Credit Application Clerk;instance2;intermediate;Credit Application checked;32.669760437026774;32.669760437026774;32.669760437026774;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance2;START;Credit application received;32.669760437026774;32.669760437026774;32.669760437026774;0.0;0.0;0;0;;Application store;
Credit Application Clerk;instance3;START;Credit application received;41.283726487176104;41.283726487176104;41.283726487176104;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance1;activity;Make credit offer;32.46487867987805;32.46487867987805;41.49882498345611;0.0;9.033946303578064;5;9.033946303578064;Credit Officer;;
Credit Application Credit Officer;instance1;END;Credit application processed;41.49882498345611;41.49882498345611;41.49882498345611;0.0;0.0;0;0;;;
Credit Application Clerk;instance2;activity;Send e-mail to customer;32.669760437026774;32.669760437026774;42.74274044709191;0.0;10.07298001006514;5;5.03649000503257;Clerk;;
Credit Application Clerk;instance2;END;Customer notified;42.74274044709191;42.74274044709191;42.74274044709191;0.0;0.0;0;0;;;
Credit Application Clerk;instance3;activity;Check credit history;41.283726487176104;41.283726487176104;51.089421773799316;0.0;9.80569528662321;5;4.902847643311605;Clerk;;
Credit Application Clerk;instance3;activity;Check income sources;41.283726487176104;41.283726487176104;53.11875120565381;0.0;11.835024718477703;5;5.917512359238851;Clerk;;
Credit Application Clerk;instance3;intermediate;Credit Application checked;53.11875120565381;53.11875120565381;53.11875120565381;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance3;START;Credit application received;53.11875120565381;53.11875120565381;53.11875120565381;0.0;0.0;0;0;;Application store;
Credit Application Credit Officer;instance2;activity;Assess application;32.669760437026774;32.669760437026774;54.45812984543883;0.0;21.788369408412063;5;21.788369408412063;Credit Officer;;
Credit Application Clerk;instance3;activity;Send e-mail to customer;53.11875120565381;53.11875120565381;62.59376443871322;0.0;9.475013233059412;5;4.737506616529706;Clerk;;
Credit Application Clerk;instance3;END;Customer notified;62.59376443871322;62.59376443871322;62.59376443871322;0.0;0.0;0;0;;;
Credit Application Clerk;instance4;START;Credit application received;62.7096423410471;62.7096423410471;62.7096423410471;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance2;activity;Make credit offer;54.45812984543883;54.45812984543883;66.86590494657213;0.0;12.407775101133302;5;12.407775101133302;Credit Officer;;
Credit Application Credit Officer;instance2;END;Credit application processed;66.86590494657213;66.86590494657213;66.86590494657213;0.0;0.0;0;0;;;
Credit Application Clerk;instance4;activity;Check income sources;62.7096423410471;62.7096423410471;71.82314693554633;0.0;9.113504594499227;5;4.556752297249614;Clerk;;
Credit Application Clerk;instance4;activity;Check credit history;62.7096423410471;62.7096423410471;71.90683447519586;0.0;9.197192134148764;5;4.598596067074382;Clerk;;
Credit Application Clerk;instance4;intermediate;Credit Application checked;71.90683447519586;71.90683447519586;71.90683447519586;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance4;START;Credit application received;71.90683447519586;71.90683447519586;71.90683447519586;0.0;0.0;0;0;;Application store;
Credit Application Credit Officer;instance3;activity;Assess application;53.11875120565381;53.11875120565381;73.28088336057287;0.0;20.16213215491906;5;20.16213215491906;Credit Officer;;
Credit Application Clerk;instance4;activity;Send e-mail to customer;71.90683447519586;71.90683447519586;80.8857197083803;0.0;8.978885233184428;5;4.489442616592214;Clerk;;
Credit Application Clerk;instance4;END;Customer notified;80.8857197083803;80.8857197083803;80.8857197083803;0.0;0.0;0;0;;;
Credit Application Clerk;instance5;START;Credit application received;81.96518379449076;81.96518379449076;81.96518379449076;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance3;activity;Make credit offer;73.28088336057287;73.28088336057287;82.49280969877164;0.0;9.211926338198765;5;9.211926338198765;Credit Officer;;
Credit Application Credit Officer;instance3;END;Credit application processed;82.49280969877164;82.49280969877164;82.49280969877164;0.0;0.0;0;0;;;
Credit Application Clerk;instance5;activity;Check credit history;81.96518379449076;81.96518379449076;91.0380802909972;0.0;9.07289649650645;5;4.536448248253225;Clerk;;
Credit Application Credit Officer;instance4;activity;Assess application;71.90683447519586;71.90683447519586;92.36285985433304;0.0;20.456025379137166;5;20.456025379137166;Credit Officer;;
Credit Application Clerk;instance5;activity;Check income sources;81.96518379449076;81.96518379449076;98.55385899864606;0.0;16.588675204155308;5;8.294337602077654;Clerk;;
Credit Application Clerk;instance5;intermediate;Credit Application checked;98.55385899864606;98.55385899864606;98.55385899864606;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance5;START;Credit application received;98.55385899864606;98.55385899864606;98.55385899864606;0.0;0.0;0;0;;Application store;
Credit Application Clerk;instance6;START;Credit application received;102.6750217050595;102.6750217050595;102.6750217050595;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance4;activity;Make credit offer;92.36285985433304;92.36285985433304;103.74141103854299;0.0;11.37855118420995;5;11.37855118420995;Credit Officer;;
Credit Application Credit Officer;instance4;END;Credit application processed;103.74141103854299;103.74141103854299;103.74141103854299;0.0;0.0;0;0;;;
Credit Application Clerk;instance5;activity;Send e-mail to customer;98.55385899864606;98.55385899864606;108.24907528147855;0.0;9.69521628283249;5;4.847608141416245;Clerk;;
Credit Application Clerk;instance5;END;Customer notified;108.24907528147855;108.24907528147855;108.24907528147855;0.0;0.0;0;0;;;
Credit Application Clerk;instance6;activity;Check credit history;102.6750217050595;102.6750217050595;111.33683430501591;0.0;8.661812599956402;5;4.330906299978201;Clerk;;
